year,month,pre_Region1,pre_Region2,pre_Region3,pre_Region4,pre_Region5,pre_Region6,tmp_Region1,tmp_Region2,tmp_Region3,tmp_Region4,tmp_Region5,tmp_Region6,spi3_1,spi3_2,spi3_3,spi3_4,spi3_5,spi3_6,tmp3m_1,tmp3m_2,tmp3m_3,tmp3m_4,tmp3m_5,tmp3m_6
2014,9,202.7970242,191.1546481,53.1538649,96.91264383,48.80232424,47.7394576,26.78561409,25.66167888,28.06245672,27.59869696,27.4563353,13.72758949,0.024377212,-1.853239429,-0.243634344,0.270827161,0.305818695,0.120121219,26.05195491,25.29052717,27.53754023,26.66644101,25.62314207,12.86702655
2014,10,211.4252818,213.9857761,77.48744389,172.9783156,75.93312619,83.2070553,26.66894587,25.72171948,27.9764061,27.40437963,27.86031579,14.15739214,0.069365635,-0.538969234,0.134583854,-0.134242073,-1.251179878,0.472669154,26.41931926,25.48007529,27.86890482,27.2434744,27.00048807,13.55064408
2014,11,206.2902805,208.6748999,96.95636871,228.9374176,189.0331172,67.0085364,26.82593684,25.93964806,28.0505654,27.01819168,26.83874613,14.75558053,-0.247796247,0.196170169,0.030647252,-0.12544791,-0.668670755,-0.321132243,26.7601656,25.77434881,28.02980941,27.34042276,27.38513241,14.21352072
2014,12,254.2965034,111.8228608,93.91143426,274.002545,218.1595493,112.6434889,26.86900735,25.77683825,27.80198389,26.72580726,26.32499329,14.44583247,0.103418844,0.671629755,-0.628553659,-0.038771559,-0.709997438,-0.166604633,26.78796335,25.81273526,27.94298513,27.04945952,27.0080184,14.45293505
2015,1,264.8790321,63.50226365,203.3923331,283.8884254,186.4209433,89.88393397,26.32423173,25.75719056,27.06595709,26.25106167,26.46110037,14.11463173,0.598902338,0.016810145,-0.98035461,-0.360645669,-1.068212351,-1.110526078,26.67305864,25.82455895,27.63950213,26.6650202,26.54161326,14.43868158
2015,2,193.4970497,106.2665251,199.6807969,272.6604675,221.6060207,173.0891082,26.85269099,26.1744099,26.88675738,26.3411534,26.04186831,14.45946943,0.301085699,-0.25610895,-1.592488138,-1.027793732,-1.147152143,0.136527064,26.68197669,25.9028129,27.25156612,26.43934078,26.27598732,14.33997787
2015,3,318.5980056,134.8720033,317.3105506,300.3931548,217.4232443,144.9181614,26.47719828,26.12484163,26.76155234,26.23511032,26.01136709,14.58519622,0.237323564,0.174875451,-0.417463474,-1.259136181,-0.87016396,0.216600923,26.55137367,26.01881403,26.9047556,26.27577513,26.17144526,14.38643246
2015,4,338.6635767,185.5411002,304.8050401,233.2104074,140.6108914,86.33425196,26.37971594,26.2046984,27.00517773,26.5362204,26.08658694,14.33126696,0.235265211,0.027880064,-0.21641483,-0.847634021,0.351866356,0.698031185,26.5698684,26.16798331,26.88449582,26.37082804,26.04660745,14.4586442
2015,5,312.438697,269.0153711,317.0897894,140.7734118,82.65092388,104.4244666,26.42878254,25.74794562,27.14954831,26.32690172,24.80605556,13.80836094,0.501534116,-0.869792302,0.468247736,-0.018470879,1.007585308,1.236525019,26.42856559,26.02582855,26.97209279,26.36607748,25.63466986,14.24160804
2015,6,300.5743072,374.9292867,219.8804335,59.97405835,17.92121566,45.11116835,26.07491923,25.46284453,27.39715425,26.03630552,24.12688032,13.2920135,0.43818586,-1.141322161,-0.073541555,0.455273571,1.461852389,1.952054321,26.29447257,25.80516285,27.1839601,26.29980922,25.0065076,13.81054713
2015,7,287.7591332,341.9050386,173.5927803,46.5563407,17.29283869,47.62511291,26.14471065,25.2977847,27.35134017,26.13729981,24.25345098,12.63716144,0.350859607,-1.108783493,-0.048784616,0.528478285,1.297232321,2.679478583,26.21613747,25.50285828,27.29934758,26.16683569,24.39546229,13.24584529
2015,8,188.3769332,317.7559207,92.13473603,44.00602193,17.85527536,22.29432987,26.62318847,25.80578569,27.80181028,27.33161283,26.02956138,13.3395965,0.303355771,-0.365466414,-0.461904646,-0.174088145,-0.267587608,0.770844532,26.28093945,25.52213831,27.51676824,26.50173939,24.80329756,13.08959048
2015,9,143.2757977,177.5948768,32.59710689,83.32632495,39.56295187,36.3289939,27.48550505,26.56944159,28.66296525,28.36616748,27.88533816,14.82099517,-0.802295506,-0.865144886,-1.043262392,-0.901517482,-0.338691066,-0.138555317,26.75113472,25.89100399,27.93870524,27.27836004,26.05611684,13.59925104
2015,10,177.0695599,139.8856886,32.19042705,137.5141215,79.53619044,66.04609013,27.34895245,26.78079325,28.80925818,27.93120779,27.75184281,14.66578408,-1.761898968,-1.265380194,-2.1133641,-2.445087588,-1.441484648,-1.096949983,27.15254865,26.38534018,28.4246779,27.87632937,27.22224745,14.27545859
2015,11,164.5511262,145.1889623,46.78246478,186.9715526,140.0103588,76.89906857,27.43653264,26.27464319,28.2926147,27.45490423,27.04065107,15.07571688,-2.319998263,-1.914324897,-2.804476851,-2.978302272,-2.055300517,-1.014691276,27.42366338,26.54162601,28.58827938,27.9174265,27.55927735,14.85416538
2015,12,194.6259711,98.70877984,95.27100346,233.0743322,134.333279,77.67798023,27.14335501,26.42146484,27.97679176,27.02977724,27.0073474,15.13843628,-1.766956633,-1.713250482,-2.527453088,-3.334524349,-3.319418033,-1.425975637,27.30961337,26.49230042,28.35955488,27.47196308,27.26661376,14.95997908
2016,1,127.0358002,49.54439218,138.1295506,257.06173,301.9712887,77.74336898,27.65361272,26.41140914,27.23621541,27.1382125,26.64199028,15.44012935,-2.728589332,-1.520850401,-2.816560728,-3.177880044,-1.38006556,-2.12189386,27.41116679,26.36917239,27.83520729,27.20763132,26.89666292,15.21809417
